"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Datum gestartet","Datum letzte Aktivität","Weiterleitungs-URL","Welche der folgenden Kategorien trifft auf dich zu?","Welcher Fakultät gehörst du an?","Welcher Fakultät gehörst du an? [Sonstiges]","Studierst du im Rahmen eines Austauschprogramms an der Hochschule Reutlingen?","Bist du älter als 26 Jahre?","Wie bewertest du deinen Wissensstand zum Deutschlandticket?","Wie bewertest du deinen Wissensstand zum Vollsolidarmodell an Hochschulen?","Welche Verkehrsmittel nutzt du aktuell am meisten, um zur Hochschule zu kommen?  [Rank 1]","Welche Verkehrsmittel nutzt du aktuell am meisten, um zur Hochschule zu kommen?  [Rank 2]","Welche Verkehrsmittel nutzt du aktuell am meisten, um zur Hochschule zu kommen?  [Rank 3]","Wie häufig nutzt du aktuell den Öffentlichen Nahverkehr, um zur Hochschule zu kommen?","Wie häufig nutzt du den Öffentlichen Nahverkehr ansonsten?","Wie viel gibst du aktuell pro Monat für deine Mobilität aus? [Ausgaben in Euro]","Wie weit von der Hochschule entfernt wohnst du circa? [Abstand in Kilometern]","Wie lange brauchst du in der Regel zur Hochschule? [Dauer in Minuten]","Hast du aktuell eines der folgenden Tickets?","Hast du aktuell eines der folgenden Tickets? [Sonstiges]","Wie wichtig ist dir die Klimafreundlichkeit der von dir genutzten Verkehrsmittel?","Wie stehst du zur Einführung des Deutschlandtickets im Vollsolidarmodell an der Hochschule Reutlingen?","Hältst du den genannten Betrag von 29,40€ pro Monat (180€ pro Semester) für angemessen?  Info: Aktuell zahlst du bereits circa 30€ pro Semester als Teilsolidarbeitrag in deinem Semesterbeitrag - unabhängig davon, ob du ein Ticket nutzt! ","Welchen Betrag findest du angemessen? [Betrag pro Semester in Euro]","Wie fair findest du, dass alle den Beitrag zahlen - auch, wenn sie das Ticket nicht nutzen?","Erwartest du, dass das Deutschlandticket im Vollsolidarmodell deine Nutzung des Öffentlichen Nahverkehrs verändern würde?","Welche Alternativen zum Deutschlandticket im Vollsolidarmodell würdest du vorschlagen?","Gesamtzeit","Gruppenzeit: Fragen zur Person","Fragenzeit: G01Q01","Fragenzeit: G01Q02","Fragenzeit: G01Q03","Fragenzeit: G01Q04","Gruppenzeit: Allgemeiner Wissensstand zum Deutschlandticket im Vollsolidarmodel","Fragenzeit: G02Q01","Fragenzeit: G02Q02","Gruppenzeit: Aktuelle Mobilität / Nutzung von Verkehrsmitteln","Fragenzeit: G04Q01","Fragenzeit: G04Q02","Fragenzeit: G04Q03","Fragenzeit: G04Q04","Fragenzeit: G04Q05","Fragenzeit: G04Q06","Fragenzeit: G04Q07","Gruppenzeit: Einstellung zu Klimafreundlichkeit im Verkehr","Fragenzeit: G05Q01","Gruppenzeit: Informierte Stellung zum Deutschlandticket im Vollsolidarmodell an der Hochschule Reutlingen","Fragenzeit: G03Q01","Gruppenzeit: Einstellung zu genannten Konditionen","Fragenzeit: G06Q01","Fragenzeit: G06Q02","Fragenzeit: G06Q03","Gruppenzeit: Auswirkung auf Teilnehmer","Fragenzeit: G07Q01","Gruppenzeit: Alternativen","Fragenzeit: G08Q01"
"45","2024-06-20 07:42:55","8","de","271300812","2024-06-20 07:39:08","2024-06-20 07:42:55",,"Student:in","TEX","","Nein","Nein","Eher gut","Eher schlecht","Bus und Bahn","Auto","","Täglich","Weniger als einmal pro Woche","160","25","60","JugendBW-Ticket","","Eher wichtig","Eher positiv","Ja",,"Eher fair",,"","230.93","25.02",,,,,"20.21",,,"131.56",,,,,,,,"5.93",,"22.27",,"21.74",,,,,,"4.2",
"46",,"3","de","2120323312","2024-06-20 07:58:58","2024-06-20 08:00:35",,"Student:in","LS","","Nein","Nein","Eher gut","Sehr schlecht","Zu Fuß","Bus und Bahn","","Einmal pro Woche","Mehrmals pro Woche","30","0.2","5","Ich habe kein vergleichbares Ticket","",,,"N/A",,,,,"96.89","13.97",,,,,"19.99",,,"62.93",,,,,,,,,,,,,,,,,,,
"47","2024-06-20 08:26:49","8","de","1965850394","2024-06-20 08:20:30","2024-06-20 08:26:49",,"Student:in","INF","","Nein","Nein","Eher schlecht","Eher schlecht","Auto","","","Nie","Nie","250","25","35","Ich habe kein vergleichbares Ticket","","Eher wichtig","Eher positiv","Nein","50","Eher unfair","Etwas","Teilsolidarotätsmodell","382.08","12.97",,,,,"17.8",,,"118.97",,,,,,,,"28.83",,"125.78",,"49.7",,,,"12.07",,"15.96",
"48","2024-06-20 08:26:45","8","de","1281975146","2024-06-20 08:22:11","2024-06-20 08:26:45",,"Student:in","TEC","","Nein","Nein","Eher gut","Eher schlecht","Auto","Fahrgemeinschaft","","Nie","Nie","100","40","40","Ich habe kein vergleichbares Ticket","","Eher unwichtig","Sehr ablehnend","Ja",,"Eher unfair","Gar nicht","Ein angebot für die die es brauchen, so dass man nur dafür zahlt wenn man es benötigt","276.4","15.06",,,,,"25.08",,,"81",,,,,,,,"16.71",,"61.53",,"30.65",,,,"13.07",,"33.3",
"49","2024-06-20 08:36:22","8","de","1621966672","2024-06-20 08:28:57","2024-06-20 08:36:22",,"Student:in","TEX","","Nein","Nein","Eher gut","Eher schlecht","Bus und Bahn","","","Täglich","Mehrmals pro Woche","25","5","15","Naldo Semesterticket","","Sehr wichtig","Eher ablehnend","Ja",,"Sehr unfair",,"nur die Studenten die ein ticket benötigen zahlen den Beitrag ","447.43","16.76",,,,,"15.81",,,"113.66",,,,,,,,"8.94",,"167.68",,"92.51",,,,,,"32.07",
"50","2024-06-20 09:10:20","8","de","223571403","2024-06-20 09:01:46","2024-06-20 09:10:20",,"Student:in","ESB","","Nein","Nein","Sehr Gut","Sehr schlecht","Bus und Bahn","Zu Fuß","Fahrrad","Täglich","Mehrmals pro Woche","50","2","20","Deutschlandticket","","Eher wichtig","Eher positiv","Nein","100","Eher fair",,"Deutschlandticket und nextbike für 180€","517.73","85.11",,,,,"15.43",,,"171.6",,,,,,,,"6.32",,"88.73",,"44.67",,,,,,"105.87",
"51","2024-06-20 09:06:28","8","de","122224349","2024-06-20 09:04:18","2024-06-20 09:06:28",,"Student:in","ESB","","Nein","Nein","Eher gut","Eher schlecht","Auto","Fahrgemeinschaft","Bus und Bahn","Weniger als einmal pro Woche","Einmal pro Woche","220","35","45","Ich habe kein vergleichbares Ticket","","Eher wichtig","Eher positiv","Ja",,"Sehr fair","Etwas","","132.21","10.07",,,,,"9.74",,,"60.27",,,,,,,,"7.4",,"16.74",,"16.25",,,,"6.61",,"5.13",
"52","2024-06-20 09:07:42","8","de","417839185","2024-06-20 09:04:40","2024-06-20 09:07:42",,"Student:in","ESB","","Nein","Nein","Eher gut","Sehr schlecht","Auto","Fahrrad","Zu Fuß","Nie","Weniger als einmal pro Woche","130","0.5","4","Ich habe kein vergleichbares Ticket","","Eher unwichtig","Eher positiv","Nein","100","Eher unfair","Etwas","","185.23","9.48",,,,,"10.64",,,"59.8",,,,,,,,"7.2",,"38.95",,"30.69",,,,"23.79",,"4.68",
"53","2024-06-20 09:48:54","8","de","729541041","2024-06-20 09:42:24","2024-06-20 09:48:54",,"Student:in","TEX","","Nein","Nein","Eher gut","Eher schlecht","Zu Fuß","Auto","Bus und Bahn","Weniger als einmal pro Woche","Weniger als einmal pro Woche","50","0","5","Deutschlandticket","","Eher wichtig","Sehr positiv","Ja",,"Eher fair",,"","391.42","25.27",,,,,"19.66",,,"104.13",,,,,,,,"9.98",,"179.26",,"48.46",,,,,,"4.66",
"54","2024-06-20 09:57:44","8","de","415145176","2024-06-20 09:51:37","2024-06-20 09:57:44",,"Student:in","INF","","Nein","Nein","Eher gut","Eher schlecht","Fahrrad","","","Einmal pro Woche","Mehrmals pro Woche","30","3","15","JugendBW-Ticket","","Eher wichtig","Eher positiv","Ja",,"Eher unfair",,"Aufstockung des Solidarbeitrags auf maximal die hälfte des preises des Jugenticketbw aber nicht den gesamten Preis","369.35","24.19",,,,,"15.96",,,"109.99",,,,,,,,"10",,"54.69",,"79.72",,,,,,"74.8",
